_id,name_en,name_ru,name_uk
2000071,Unkosovo,Ункосово,Ункосово
2000072,Nijnemalc,Нижнемальцево,Нижнемальцево
2000073,Sotnicyno,Сотницыно,Сотницыно
2000074,Berestianki,Берестянки,Берестянки
2000075,Tushino,Тушино,Тушино
2000076,Tairovka,Таировка,Таировка
2000077,Kustarevka,Кустаревка,Кустаревка
2000078,Svejenkaia,Свеженькая,Свеженькая
2000079,Izvest,Известь,Известь
2000080,Riazan 2,Рязань 2,Рязань 2
2000081,Vysha,Выша,Выша
2000082,Kubinka 1,Кубинка 1,Кубинка 1
2000083,Mihnevo,Михнево,Михнево
2000084,Tula 2,Тула 2,Тула 2
2000085,Myshbor,Мышбор,Мышбор
2000087,Vyshegor,Вышегор,Вышегор
2000088,Ojerele,Ожерелье,Ожерелье
2000089,Purlovo,Пурлово,Пурлово
2000090,Korablino,Кораблино,Кораблино
2000091,Bogatiscevo,Богатищево,Богатищево
2000092,Korovino,Коровино,Коровино
2000093,Uzunovo,Узуново,Узуново
2000094,Ser Prudy,Серебряные Пруды,Серебряные Пруды
2000096,Korablevka,Кораблевка,Кораблевка
2000097,Trepole,Треполье,Треполье
2000099,Mihailov,Михайлов,Михайлов
2000100,Dolgoprud,Долгопрудная,Долгопрудная
2000101,Vostriakovo,Востряково Пав,Востряково Пав
2000103,Chehovskaia,Чеховская,Чеховская
2000104,Sovhoz,Совхоз,Совхоз
2000105,Matveevsk,Матвеевское,Матвеевское
2000106,Belopesoc,Белопесоцкий,Белопесоцкий
2000108,Kalistovo,Калистово,Калистово
2000111,Sushkinskaia,Сушкинская,Сушкинская
2000112,Boiarincevo,Бояринцево,Бояринцево
2000113,Goldino,Голдино,Голдино
2000114,Katino,Катино,Катино
2000115,Lobnia,Лобня,Лобня
2000116,Mshanka,Мшанка,Мшанка
2000117,Kremlevo,Кремлево,Кремлево
2000118,Pavelec Tu,Павелец-Тульский,Павелец-Тульский
2000119,Pavelec Sy,Павелец-Сызранский,Павелец-Сызранский
2000120,Riazan 1,Рязань 1,Рязань 1
2000121,Pchelovodn,Пчеловодное,Пчеловодное
2000122,Mordves,Мордвес,Мордвес
2000123,Nastasino,Настасьино,Настасьино
2000124,Venev,Венев,Венев
2000126,Arsaki,Арсаки,Арсаки
2000127,Gricovo,Грицово,Грицово
2000128,Maklec,Маклец,Маклец
2000129,Uzlovaia 2,Узловая 2,Узловая 2
2000130,Reutovo,Реутово,Реутово
2000131,Uzlovaia 3,Узловая 3,Узловая 3
2000132,Polunino,Полунино,Полунино
2000133,Tovarkovo,Товарково,Товарково
2000134,Malevka,Малевка,Малевка
2000135,Rastorguev,Расторгуево,Расторгуево
2000136,Volovo,Волово,Волово
2000137,Karasi,Караси,Караси
2000138,Turdei,Турдей,Турдей
2000139,Nepriadva,Непрядва,Непрядва
2000140,Orel,Орел,Орел
2000141,Burelom,Бурелом,Бурелом
2000142,Krivoluche,Криволучье,Криволучье
2000143,Prisady,Присады,Присады
2000144,Shat,Шат,Шат
2000145,Domodedovo,Домодедово,Домодедово
2000146,Obolenskoe,Оболенское,Оболенское
2000147,Dedilovo,Дедилово,Дедилово
2000148,Granki,Гранки,Гранки
2000149,Kimovsk,Кимовск,Кимовск
2000150,Kursk,Курск,Курськ
2000151,Kurchatov,Курчатов,Курчатов
2000154,Tesna,Тесна,Тесна
2000155,Fili,Фили,Фили
2000156,Klekotki,Клекотки,Клекотки
2000158,Lazinka,Лазинка,Лазинка
2000159,Voslebovo,Вослебово,Вослебово
2000160,Briansk Orlovskii,Брянск Орловский,Брянськ-Орловськ
2000161,Skopin,Скопин,Скопин
2000162,Briketnaia,Брикетная,Брикетная
2000163,Jeltuhino,Желтухино,Желтухино
2000164,Serpuhov,Серпухов,Серпухів
2000165,Los,Лось,Лось
2000166,Avangard,Авангард,Авангард
2000167,Pahomovo,Пахомово,Пахомово
2000168,Shulgino,Шульгино,Шульгіно
2000169,Stroika,Стройка,Стройка
2000170,Smolensk,Смоленск Центральный,Смоленск Центральный
2000171,Privalovo,Привалово,Привалово
2000172,Radonej,Радонеж,Радонеж
2000173,Tula Viaz,Тула-Вяземская,Тула-Вяземская
2000175,Perlovskaia,Перловская,Перловская
2000176,Iasn Poliana,Ясная Поляна,Ясна Поляна
2000177,Kaznacheev,Казначеевка,Казначеївка
2000178,Jitovo,Житово,Житово
2000179,Lazarevo,Лазарево,Лазарево
2000180,Chuchkovo,Чучково,Чучково
2000181,Sumarokovo,Сумароково,Сумароково
2000182,Plavsk,Плавск,Плавськ
2000183,Samozvan,Самозвановка,Самозвановка
2000184,Gorbachevo,Горбачево,Горбачево
2000185,Lianozovo,Лианозово,Лианозово
2000186,Skuratovo,Скуратово,Скуратово
2000187,Vypolzovo,Выползово,Выползово
2000188,Chern,Чернь,Чернь
2000189,Sredniaia,Средняя,Средняя
2000190,Sasovo,Сасово,Сасово
2000191,Aleksin,Алексин,Алексин
2000192,Riurikovo,Рюриково,Рюриково
2000193,Suhodol,Суходол,Суходол
2000194,Obidimo,Обидимо,Обидимо
2000195,Voronok,Воронок,Воронок
2000196,Plehanovo,Плеханово,Плеханово
2000197,Hanino,Ханино,Ханино
2000198,Zbrodovo,Збродово,Збродово
2000199,Cherepet,Черепеть,Черепеть
2000200,Kalitniki,Калитники,Калитники
2000201,Chekalin,Чекалин,Чекалин
2000202,Shepelevo,Шепелево,Шепелево
2000203,Tupik,Тупик,Тупик
2000204,Slagovisci,Слаговищи,Слаговищи
2000205,Dedovsk,Дедовск,Дедовск
2000206,Kireevskaia,Киреевская,Киреевская
2000207,Ishutino,Ишутино,Ишутино
2000208,Belev,Белев,Белев
2000210,Moskovskaia,Московская,Московская
2000211,Arsenevo,Арсеньево,Арсеньево
2000215,Ochakovo 1,Очаково 1,Очаково 1
2000216,Ogarevo,Огарево,Огарево
2000217,Op Shemiakin,Ост.пункт Шемякино,Ост.пункт Шемякино
2000218,Bastyevo,Бастыево,Бастыево
2000219,Dumchino,Думчино,Думчино
2000220,Kashira Pas,Кашира-Пассажирская,Кашира-Пассажирская
2000221,Otrada,Отрада,Отрада
2000222,Optuha,Оптуха,Оптуха
2000223,Stal Kon,Стальной Конь,Стальний Кінь
2000224,Stish,Стишь,Стишь
2000225,Caricyno,Царицыно,Царицино
2000226,Stan Kolod,Становой Колодезь,Становий Колодязь
2000227,Eropkino,Еропкино,Єропкіно
2000228,Zmievka,Змиевка,Зміївка
2000229,Kurakino,Куракино,Куракино
2000230,Uzlovaia 1,Узловая 1,Узловая 1
2000231,Glazunovka,Глазуновка,Глазунівка
2000232,Maloarhan,Малоархангельск,Малоархангельськ
2000233,Odrinskaia,Одринская,Одринская
2000234,Hotynec,Хотынец,Хотынец
2000235,Dmitrovsk,Дмитровская,Дмитровская
2000236,Shahovo,Шахово,Шахово
2000237,Naryshkino,Нарышкино,Нарышкино
2000238,Domnino,Домнино,Домнино
2000239,Zolotarevo,Золотарево,Золотарево
2000240,Jdanka,Жданка,Жданка
2000241,Blagodatn,Благодатная,Благодатная
2000242,Zalegosc,Залегощь,Залегощь
2000243,Turovka,Туровка,Туровка
2000244,Verhove,Верховье,Верховье
2000245,Raboch Pos,Рабочий Поселок,Рабочий Поселок
2000246,Homutovo,Хомутово,Хомутово
2000247,Krasn Zaria,Красная Заря,Красная Заря
2000248,Izmalkovo,Измалково,Измалково
2000249,Lopatino,Лопатино,Лопатино
2000250,Efremov,Ефремов,Ефремов
2000251,Kazaki,Казаки,Казаки
2000252,Pajen,Пажень,Пажень
2000253,Skariatino,Скарятино,Скарятино
2000254,Rus Brod,Русский Брод,Русский Брод
2000255,Bykovo,Быково,Быково
2000256,Zdorovec,Здоровец,Здоровец
2000257,Livny 1,Ливны 1,Ливны 1
2000258,Livny 2,Ливны 2,Ливны 2
2000259,Korotysh,Коротыш,Коротыш
2000260,Bobrik Don,Бобрик Донской,Бобрик Донской
2000261,Studenyi,Студеный,Студеный
2000262,Dolgaia,Долгая,Долгая
2000263,Star.derev,Старая Деревня,Старая Деревня
2000264,Novomosk 2,Новомосковская 2,Новомосковская 2
2000265,Perovo,Перово,Перово
2000266,Urvanka,Урванка,Урванка
2000267,Sborn Ug,Сборная-Угольная,Сборная-Угольная
2000268,Ponyri,Поныри,Понирі
2000269,Usoja,Усожа,Усожа
2000270,Scekino,Щекино,Щекіно
2000271,Evdokimov,Евдокимовка,Евдокимовка
2000272,Deriugino,Дерюгино,Дерюгино
2000273,Dmitriev L,Дмитриев-Льговский,Дмитриев-Льговский
2000274,Moskv T Sm,Москва-Тов-Смоленск.,Москва-Тов-Смоленск.
2000275,Setun,Сетунь,Сетунь
2000276,Arbuzovo,Арбузово,Арбузово
2000277,Borok,Борок,Борок
2000279,Igorevskaia,Игоревская,Игоревская
2000280,Mcensk,Мценск,Мценськ
2000281,Rvy,Рвы,Рвы
2000282,Konyshevka,Конышевка,Конышевка
2000283,Marica,Марица,Марица
2000284,Sherekino,Шерекино,Шерекино
2000285,Scerbinka,Щербинка,Щербинка
2000286,Iasakovo,Ясаково,Ясаково
2000287,Derevenki,Деревеньки,Деревеньки
2000288,Korenevo,Коренево,Коренево
2000289,Grodnensk,Гродненский,Гродненский
2000290,Novomosk 1,Новомосковская 1,Новомосковская 1
2000291,Lokinskaia,Локинская,Локинская
2000292,Kurchaninov,Курчаниново,Курчаниново
2000293,Sudja,Суджа,Суджа
2000294,Makeevo M,Макеево Московск,Макеево Московск
2000295,Fabrichnaia,Фабричная,Фабричная
2000296,Sosnov Bor,Сосновый Бор,Сосновый Бор
2000297,Psel,Псел,Псел
2000298,Rulitin,Рулитин,Рулитин
2000299,Iusupovo,Юсупово,Юсупово
2000300,Rudnevo,Руднево,Руднево
2000301,Vozy,Возы,Вози
2000302,Zolotuhino,Золотухино,Золотухіне
2000303,Svoboda,Свобода,Свобода
2000304,Bukreevka,Букреевка,Букреевка
2000306,Ryshkovo,Рышково,Рышково
2000307,Diakonovo,Дьяконово,Дьяконово
2000308,Lukashevka,Лукашевка,Лукашевка
2000309,Blohino,Блохино,Блохино
2000310,Lgov Kiev,Льгов-Киевский,Льгов-Киевский
2000311,Artakovo,Артаково,Артаково
2000312,Kolontaev,Колонтаевка,Колонтаевка
2000313,Rylsk,Рыльск,Рыльск
2000314,Glushkovo,Глушково,Глушково
2000315,Solnechnaia,Солнечная,Сонячна
2000316,Kubinka 2,Кубинка 2,Кубинка 2
2000317,Kovrigino,Ковригино,Ковригино
2000318,Zelenovo,Зеленово,Зеленово
2000319,Nozdrachevo,Ноздрачево,Ноздрачево
2000320,Korenevo,Коренево,Коренево
2000321,Otreshkovo,Отрешково,Отрешково
2000322,Melehino,Мелехино,Мелехино
2000323,Ohochevka,Охочевка,Охочевка
2000324,Scigry,Щигры,Щигры
2000325,Udobritel,Удобрительная,Удобрительная
2000326,Golovinka,Головинка,Головинка
2000327,Cheremisin,Черемисиново,Черемисиново
2000328,Rashovec,Расховец,Расховец
2000329,Marmyji,Мармыжи,Мармыжи
2000330,Kshen,Кшень,Кшень
2000331,Nijnegraiv,Нижнеграйворонка,Нижнеграйворонка
2000332,Lachinovo,Лачиново,Лачиново
2000334,Pilatovka,Пилатовка,Пилатовка
2000335,Taininskaia,Тайнинская,Тайнинская
2000336,Maloiarosl,Малоярославец,Малоярославець
2000337,Feliksovo,Феликсово,Феликсово
2000338,Suhodrev,Суходрев,Суходрев
2000339,Svet.jizn,Светлая Жизнь,Светлая Жизнь
2000340,Mojaisk,Можайск,Можайск
2000342,T Pustyn,Тихонова Пустынь,Тихон. Пустинь
2000343,Muratovka,Муратовка,Муратовка
2000344,Gorenskaia,Горенская,Горенська
2000345,Kaluga 1,Калуга 1,Калуга 1
2000346,Vorotynsk,Воротынск,Вортинськ
2000347,Slemy,Слемы,Слемы
2000348,Babynino,Бабынино,Бабиніно
2000349,Domashevka,Домашевка,Домашевка
2000350,Kaluga 2,Калуга 2,Калуга-2
2000352,Kudrinskaia,Кудринская,Кудрінська
2000355,Moskva 3,Москва 3,Москва 3
2000356,Duminichi,Думиничи,Думиничі
2000357,Paliki,Палики,Паліки
2000359,Sudimir,Судимир,Судимир
2000360,Suhinichi U,Сухиничи Узловые,Сухиничі-Вузл.
2000361,Berezovsk,Березовский,Березовський
2000362,Isakovo,Исаково,Исаково
2000363,Temkino,Темкино,Темкино
2000364,Iznoski,Износки,Износки
2000365,Miatlevskaia,Мятлевская,Мятлевская
2000366,Govardovo,Говардово,Говардово
2000367,Polotn Zav,Полотняный Завод,Полотняный Завод
2000368,Piatovskaia,Пятовская,Пятовская
2000369,Azarovo,Азарово,Азарово
2000370,Suhinichi G,Сухиничи-Главные,Сухиничі-Головні
2000371,Jeliabujsk,Желябужская,Желябужская
2000372,Ferzikovo,Ферзиково,Ферзиково
2000373,Miliat Z D,Милятинский Завод,Милятинский Завод
2000374,Spas Demen,Спас-Деменск,Спас-Деменск
2000375,Chipliaevo,Чипляево,Чипляево
2000376,Zanoznaia,Занозная,Занозная
2000378,Bariatinsk,Барятинская,Барятинская
2000379,Sutoki,Сутоки,Сутоки
2000380,Zikeevo,Зикеево,Зикеево
2000381,Dabuja,Дабужа,Дабужа
2000382,Matchino,Матчино,Матчино
2000383,Kozelsk,Козельск,Козельск
2000385,Shaikovka,Шайковка,Шайковка
2000386,Ujat,Ужать,Ужать
2000387,Ivan Serg,Иваново-Сергиевский,Иваново-Сергиевский
2000388,Liudinovo 2,Людиново 2,Людиново 2
2000389,Liubestovo,Любестово,Любестово
2000390,Faiansovaia,Фаянсовая,Фаянсовая
2000391,Verescevka,Верещевка,Верещевка
2000392,Gobiki,Гобики,Гобики
2000394,Jeleznica,Железница,Железница
2000395,Betlica,Бетлица,Бетлица
2000396,Kolychevo,Колычево,Колычево
2000397,Podpisnaia,Подписная,Подписная
2000399,Seleckaia,Селецкая,Селецкая
2000400,Chehov,Чехов,Чехов
2000402,Batagovo,Батагово,Батагово
2000403,Kozelkino,Козелкино,Козелкино
2000404,Chernec,Чернец,Чернець
2000405,Polpinskaia,Полпинская,Полпинська
2000406,Urickii,Урицкий,Урицкий
2000407,Punka,Пунка,Пунка
2000408,Briansk Sev,Брянск Северный,Брянськ-Півн.
2000409,Fokino,Фокино,Фокино
2000410,Liudinovo 1,Людиново 1,Людиново 1
2000411,Liubohna,Любохна,Любохна
2000412,Malygin,Малыгин,Малыгин
2000413,Perspektiv,Перспективная,Перспективная
2000414,Lipovskaia,Липовская,Липовская
2000415,Prigore,Пригорье,Пригорье
2000416,Sescinskaia,Сещинская,Сещинская
2000417,Dubrovka,Дубровка,Дубровка
2000418,Rekovichi,Рековичи,Рековичи
2000419,Olsufevo,Олсуфьево,Олсуфьево
2000420,Briansk Lgovskii,Брянск-Льговский,Брянськ-Льговский
2000421,Jukovka,Жуковка,Жуковка
2000422,Kletnia,Клетня,Клетня
2000423,Trosna,Тросна,Тросна
2000424,Rjanica,Ржаница,Ржаница
2000425,Selco,Сельцо,Сельцо
2000426,Netinka,Нетьинка,Нетьинка
2000428,Ordj Grad,Орджоникидзеград,Орджоникидзеград
2000429,Snejetsk,Снежетьская,Снежетьская
2000430,Unecha,Унеча,Унеча
2000432,Mylinka,Мылинка,Мылинка
2000433,Karachev,Карачев,Карачев
2000434,Sven,Свень,Свень
2000435,Poluje,Полужье,Полужье
2000436,Vygonichi,Выгоничи,Выгоничи
2000437,Pilshino,Пильшино,Пильшино
2000438,Hmelevo,Хмелево,Хмелево
2000439,Krasn Rog,,
2000440,Aprelevka,Апрелевка,Апрелівка
2000441,Panikovka,Паниковка,Паниковка
2000442,Pochep,Почеп,Почеп
2000443,Nemolodva,Немолодва,Немолодва
2000444,Judilovo,Жудилово,Жудилово
2000445,Rassuha,Рассуха,Рассуха
2000446,Korobonichi,Коробоничи,Коробоничи
2000447,Peschaniki,Песчаники,Песчаники
2000448,Robchik,Робчик,Робчик
2000449,Turosna,Туросна,Туросна
2000450,Elektrost,Электросталь,Электросталь
2000453,Malino,Малино,Малино
2000455,Degunino,Дегунино,Дегунино
2000460,Nahabino,Нахабино,Нахабино
2000464,Vadino,Вадино,Вадино
2000465,Pravda,Правда,Правда
2000467,Klemovo,Клемово,Клемово
2000468,Kaniutino,Канютино,Канютино
2000469,Merkuchevo,Меркучево,Меркучево
2000471,Bekasovo Sort,Бекасово-Сорт.,Бекасово-Сорт.
2000472,Novosmolen,Новосмоленская,Новосмоленская
2000473,Sychevo,Сычево,Сычево
2000474,Loshatovka,Лошатовка,Лошатовка
2000475,Nara,Нара,Нара
2000478,Vlasovo,Власово,Власово
2000480,Krasnogor,Красногорская,Красногорская
2000481,Jivodovka,Живодовка,Живодівка
2000482,Ozery,Озеры,Озеры
2000483,Komiagino,Комягино,Комягино
2000484,Kaloshino,Калошино,Калошино
2000485,Himkombin,Химкомбинат,Химкомбинат
2000486,Matrenino,Матренино,Матренино
2000487,Karaseva,Карасево,Карасево
2000489,Velino,Велино,Велино
